,Kezdoallas,Lepesszam,Sikeres,Futasido (s)
0,[ 3  6  2 10 11 12  5 15 14 13  1  8  9  7  4  0],200,True,0.002
1,[ 5  4  6  7 12  2 11  9 10 13  3 14 15  1  8  0],254,True,0.002
2,[ 6  7 13  1 10 12  5  0 15  9  2 14  8 11  4  3],308,True,0.003
3,[ 7 12  1  5  9  4  2 14  8  0 11  6 10  3 13 15],307,True,0.003
4,[ 0 14  9 13 11 10  2  7 12 15  5  4  1  3  8  6],296,True,0.003
5,[ 7  3  2 12 11 15  6  4  9  1 14  0 10  8  5 13],285,True,0.003
6,[12  1 11  3  7  5  9  6  8 14 15 10  0 13  4  2],281,True,0.003
7,[11  0  5  6  7  8  4 12  2  9 13 10  3 15  1 14],275,True,0.003
8,[11 12  4 10  0 14  3  7  6 15  8  1  2  5  9 13],303,True,0.003
9,[ 8  7 11 15  5  2  3 14  1 12 10  0 13  9  4  6],253,True,0.003
10,[ 1 15  4 12  0 11  8  3 10  5 13  9  7  2 14  6],289,True,0.003
11,[ 1  7  3  8  5  2  6  0 12 11  9 10  4 15 13 14],252,True,0.002
12,[10 13  7  2 11  4  9  5  1 15  6  8  3  0 12 14],244,True,0.002
13,[15  8  4  1  9 14  0 11  6 13  3  7 12  2 10  5],317,True,0.003
14,[10  7  8  3 12  4  6 14  5 15  1  9 13  0 11  2],304,True,0.003
15,[ 6  1 14  0 10  3 11  4  2 13 15 12  8  7  9  5],279,True,0.003
16,[ 9  1 15  3  6  2 14 11  8 12  0 10  5  4 13  7],254,True,0.003
17,[ 2  4  1  3 14 13 12  0 11  9 15  8  6  5  7 10],148,True,0.002
18,[ 3 10 12  9  6  7 11 13 14  5  1  0  8  2 15  4],337,True,0.004
19,[ 8  1  9  2  7 15 13  0  3  5  4 14 10  6 12 11],280,True,0.003
20,[ 1 15  9 10  2  0 14  4  5  7 13  6 12  3 11  8],338,True,0.004
21,[ 0  2  5 12  4  9 10 14  8  3 11  1  7 13 15  6],292,True,0.003
22,[ 9  5  1  6 13  8 11 15 12 10  7  0  4 14  2  3],343,True,0.003
23,[15  8  0  7  1  3 13  5 12 10  6  4  2 11 14  9],284,True,0.003
24,[15  7 14 13  8  9  2  4  0 11 10 12  3  6  5  1],292,True,0.003
25,[ 2  5  3 13 14  1 10  8  7 11  0 12  9  6 15  4],228,True,0.002
26,[ 0 11  3 15 13 14  2  8  4  5  7  9  1 10  6 12],274,True,0.002
27,[ 2 10  8  9  1 15  4 13 11 14  7  3  5 12  6  0],230,True,0.003
28,[ 1  3  2  9 13 15  4  6 12  0 10 11  5  7  8 14],275,True,0.002
29,[ 9  6  0 12  2 14  8  4 13 11 10  7  3  5  1 15],284,True,0.003
30,[ 8  9  5 11  3 14  1  4 13  0 12  7  6 15 10  2],307,True,0.003
31,[ 5  3  0  7 14  1  2 15  6  4 13 10  9 11 12  8],318,True,0.003
32,[ 0  1  3  6  9 11  5  7 14  8  2 15 13 10  4 12],332,True,0.003
33,[ 1 12 15 10  9  4 13 14  0  5 11  8  3  6  7  2],326,True,0.004
34,[11  8  7  6 13  4 10  1  3  2 14  5 12 15  9  0],274,True,0.002
35,[14 10  9 12  6  4  8  2  5 15  3 13  7 11  0  1],295,True,0.003
36,[13  1  9  0 12  4  3  5  7 14  2 11 10  6 15  8],287,True,0.003
37,[ 6 12 13  2 14  0  1  7 11  9 15  8  3 10  4  5],262,True,0.002
38,[ 6  0 15  1  8  7  4  3 13  9 12 11  2  5 10 14],309,True,0.003
39,[15  4 14 12  5  9  8  1  6 11  2 10  3  0 13  7],244,True,0.002
